Episode:   0, Step:49999, Total Reward:-11333
Episode:   1, Step:49999, Total Reward:-11592
Episode:   2, Step:49999, Total Reward:-11541
Episode:   3, Step:49999, Total Reward:-11448
Episode:   4, Step:49999, Total Reward:-11302
Episode:   5, Step:49999, Total Reward:-11388
Episode:   6, Step:49999, Total Reward:-11506
Episode:   7, Step:49999, Total Reward:-11110
Episode:   8, Step:49999, Total Reward:-11382
Episode:   9, Step:49999, Total Reward:-11283
Episode:  10, Step:49999, Total Reward:-11287
Episode:  11, Step:49999, Total Reward:-11120
Episode:  12, Step:49999, Total Reward:-11314
Episode:  13, Step:49999, Total Reward:-11470
Episode:  14, Step:49999, Total Reward:-11462
Episode:  15, Step:49999, Total Reward:-11327
Episode:  16, Step:49708, Total Reward:-11219
Episode:  17, Step:49999, Total Reward:-11269
Episode:  18, Step:49999, Total Reward:-11260
Episode:  19, Step:49999, Total Reward:-11404
Episode:  20, Step:49954, Total Reward:-10991
Episode:  21, Step:39126, Total Reward:-8794
Episode:  22, Step:49999, Total Reward:-11155
Episode:  23, Step:49999, Total Reward:-11110
Episode:  24, Step:49999, Total Reward:-11388
Episode:  25, Step:47689, Total Reward:-10550
Episode:  26, Step:49999, Total Reward:-11117
Episode:  27, Step:49999, Total Reward:-11131
Episode:  28, Step:49999, Total Reward:-11224
Episode:  29, Step:41843, Total Reward:-9029
Episode:  30, Step:48201, Total Reward:-10644
Episode:  31, Step:40961, Total Reward:-9060
Episode:  32, Step:49999, Total Reward:-11121
Episode:  33, Step:49999, Total Reward:-11022
Episode:  34, Step:35377, Total Reward:-7666
Episode:  35, Step:49999, Total Reward:-11055
Episode:  36, Step:31074, Total Reward:-6799
Episode:  37, Step:43389, Total Reward:-9369
Episode:  38, Step:49999, Total Reward:-11184
Episode:  39, Step:49999, Total Reward:-11352
Episode:  40, Step:37168, Total Reward:-8237
Episode:  41, Step:45563, Total Reward:-9997
Episode:  42, Step:33082, Total Reward:-7122
Episode:  43, Step:32458, Total Reward:-7013
Episode:  44, Step:32631, Total Reward:-7166
Episode:  45, Step:49999, Total Reward:-11017
Episode:  46, Step:49999, Total Reward:-11057
Episode:  47, Step:49848, Total Reward:-10865
Episode:  48, Step:49999, Total Reward:-11068
Episode:  49, Step:49999, Total Reward:-10809
Episode:  50, Step:36367, Total Reward:-7821
Episode:  51, Step:49999, Total Reward:-10840
Episode:  52, Step:30835, Total Reward:-6652
Episode:  53, Step:35418, Total Reward:-7846
Episode:  54, Step:46159, Total Reward:-9970
Episode:  55, Step:37080, Total Reward:-8131
Episode:  56, Step:27342, Total Reward:-5769
Episode:  57, Step:30035, Total Reward:-6475
Episode:  58, Step:38691, Total Reward:-8494
Episode:  59, Step:49999, Total Reward:-11031
Episode:  60, Step:21042, Total Reward:-4516
Episode:  61, Step:33824, Total Reward:-7090
Episode:  62, Step:30008, Total Reward:-6525
Episode:  63, Step:28180, Total Reward:-5995
Episode:  64, Step:16183, Total Reward:-3405
Episode:  65, Step:32282, Total Reward:-6828
Episode:  66, Step:49999, Total Reward:-10800
Episode:  67, Step:22004, Total Reward:-4607
Episode:  68, Step:31635, Total Reward:-6662
Episode:  69, Step:27764, Total Reward:-5935
Episode:  70, Step:24914, Total Reward:-5263
Episode:  71, Step:32636, Total Reward:-6968
Episode:  72, Step:23907, Total Reward:-5198
Episode:  73, Step:25669, Total Reward:-5450
Episode:  74, Step:28400, Total Reward:-5977
Episode:  75, Step:34576, Total Reward:-7281
Episode:  76, Step:37755, Total Reward:-7947
Episode:  77, Step:19925, Total Reward:-4146
Episode:  78, Step:22943, Total Reward:-4794
Episode:  79, Step:47379, Total Reward:-10031
Episode:  80, Step:28958, Total Reward:-6285
Episode:  81, Step:20457, Total Reward:-4314
Episode:  82, Step:30737, Total Reward:-6421
Episode:  83, Step:49255, Total Reward:-10483
Episode:  84, Step:17260, Total Reward:-3596
Episode:  85, Step:41219, Total Reward:-8765
Episode:  86, Step:25011, Total Reward:-5337
Episode:  87, Step:20862, Total Reward:-4439
Episode:  88, Step:26803, Total Reward:-5750
Episode:  89, Step:24690, Total Reward:-5158
Episode:  90, Step:18958, Total Reward:-3987
Episode:  91, Step:25193, Total Reward:-5348
Episode:  92, Step:19620, Total Reward:-4136
Episode:  93, Step:17279, Total Reward:-3698
Episode:  94, Step:30383, Total Reward:-6339
Episode:  95, Step:14708, Total Reward:-3046
Episode:  96, Step:18050, Total Reward:-3664
Episode:  97, Step:48552, Total Reward:-10153
Episode:  98, Step:32647, Total Reward:-6936
Episode:  99, Step:14351, Total Reward:-2966
Episode: 100, Step:15153, Total Reward:-3150
Episode: 101, Step:39736, Total Reward:-8522
Episode: 102, Step:16473, Total Reward:-3362
Episode: 103, Step:17796, Total Reward:-3646
Episode: 104, Step:16416, Total Reward:-3395
Episode: 105, Step:14094, Total Reward:-2793
Episode: 106, Step:21157, Total Reward:-4332
Episode: 107, Step:19169, Total Reward:-3910
Episode: 108, Step:23201, Total Reward:-4787
Episode: 109, Step:20247, Total Reward:-4248
Episode: 110, Step:18505, Total Reward:-3781
Episode: 111, Step:24886, Total Reward:-5183
Episode: 112, Step:25376, Total Reward:-5308
Episode: 113, Step:29362, Total Reward:-6165
Episode: 114, Step:26172, Total Reward:-5425
Episode: 115, Step:18858, Total Reward:-3849
Episode: 116, Step:15309, Total Reward:-3044
Episode: 117, Step:14502, Total Reward:-2908
Episode: 118, Step:19130, Total Reward:-3855
Episode: 119, Step:27101, Total Reward:-5532
Episode: 120, Step:17215, Total Reward:-3540
Episode: 121, Step:14095, Total Reward:-2847
Episode: 122, Step:12611, Total Reward:-2491
Episode: 123, Step:13721, Total Reward:-2793
Episode: 124, Step:18976, Total Reward:-3948
Episode: 125, Step:14145, Total Reward:-2877
Episode: 126, Step:17510, Total Reward:-3502
Episode: 127, Step:13224, Total Reward:-2643
Episode: 128, Step:23408, Total Reward:-4803
Episode: 129, Step:13738, Total Reward:-2745
Episode: 130, Step:20369, Total Reward:-4160
Episode: 131, Step:45169, Total Reward:-9354
Episode: 132, Step:11558, Total Reward:-2275
Episode: 133, Step:14453, Total Reward:-2895
Episode: 134, Step:15274, Total Reward:-2989
Episode: 135, Step:18386, Total Reward:-3761
Episode: 136, Step:14029, Total Reward:-2838
Episode: 137, Step:33729, Total Reward:-6898
Episode: 138, Step:18278, Total Reward:-3730
Episode: 139, Step:16934, Total Reward:-3353
Episode: 140, Step:22468, Total Reward:-4603
Episode: 141, Step:15468, Total Reward:-3014
Episode: 142, Step:19198, Total Reward:-3918
Episode: 143, Step:17077, Total Reward:-3442
Episode: 144, Step:16608, Total Reward:-3389
Episode: 145, Step:12222, Total Reward:-2334
Episode: 146, Step:20024, Total Reward:-4092
Episode: 147, Step:11198, Total Reward:-2160
Episode: 148, Step:12478, Total Reward:-2466
Episode: 149, Step:12423, Total Reward:-2440
Episode: 150, Step:13741, Total Reward:-2692
Episode: 151, Step:37246, Total Reward:-7548
Episode: 152, Step:20418, Total Reward:-4013
Episode: 153, Step:18854, Total Reward:-3716
Episode: 154, Step:16226, Total Reward:-3309
Episode: 155, Step:13576, Total Reward:-2652
Episode: 156, Step:21751, Total Reward:-4366
Episode: 157, Step:19121, Total Reward:-3812
Episode: 158, Step:13143, Total Reward:-2532
Episode: 159, Step:14130, Total Reward:-2784
Episode: 160, Step:10019, Total Reward:-1924
Episode: 161, Step:13271, Total Reward:-2640
Episode: 162, Step:23674, Total Reward:-4691
Episode: 163, Step:24736, Total Reward:-4927
Episode: 164, Step:9721, Total Reward:-1846
Episode: 165, Step:10541, Total Reward:-2009
Episode: 166, Step:20629, Total Reward:-4171
Episode: 167, Step:9954, Total Reward:-1958
Episode: 168, Step:11746, Total Reward:-2323
Episode: 169, Step:10079, Total Reward:-1921
Episode: 170, Step:8994, Total Reward:-1765
Episode: 171, Step:12744, Total Reward:-2415
Episode: 172, Step:12641, Total Reward:-2471
Episode: 173, Step:20062, Total Reward:-4117
Episode: 174, Step:14758, Total Reward:-2930
Episode: 175, Step:18049, Total Reward:-3584
Episode: 176, Step:21535, Total Reward:-4338
Episode: 177, Step:10777, Total Reward:-2086
Episode: 178, Step:17928, Total Reward:-3497
Episode: 179, Step:10581, Total Reward:-1984
Episode: 180, Step:9163, Total Reward:-1707
Episode: 181, Step:31129, Total Reward:-6066
Episode: 182, Step:8165, Total Reward:-1555
Episode: 183, Step:14170, Total Reward:-2832
Episode: 184, Step:13442, Total Reward:-2588
Episode: 185, Step:7761, Total Reward:-1461
Episode: 186, Step:13363, Total Reward:-2680
Episode: 187, Step:12886, Total Reward:-2478
Episode: 188, Step:10508, Total Reward:-1961
Episode: 189, Step:9215, Total Reward:-1694
Episode: 190, Step:9480, Total Reward:-1763
Episode: 191, Step:8637, Total Reward:-1606
Episode: 192, Step:10464, Total Reward:-2027
Episode: 193, Step:21234, Total Reward:-4242
Episode: 194, Step:13230, Total Reward:-2655
Episode: 195, Step:8847, Total Reward:-1647
Episode: 196, Step:32442, Total Reward:-6412
Episode: 197, Step:12944, Total Reward:-2470
Episode: 198, Step:14214, Total Reward:-2762
Episode: 199, Step:21279, Total Reward:-4269
Episode: 200, Step:8765, Total Reward:-1649
Episode: 201, Step:10510, Total Reward:-1971
Episode: 202, Step:8780, Total Reward:-1639
Episode: 203, Step:14133, Total Reward:-2746
Episode: 204, Step:7985, Total Reward:-1447
Episode: 205, Step:15049, Total Reward:-2870
Episode: 206, Step:8769, Total Reward:-1626
Episode: 207, Step:26737, Total Reward:-5308
Episode: 208, Step:11427, Total Reward:-2187
Episode: 209, Step:10736, Total Reward:-1993
Episode: 210, Step:9293, Total Reward:-1735
Episode: 211, Step:8953, Total Reward:-1665
Episode: 212, Step:8009, Total Reward:-1441
Episode: 213, Step:10471, Total Reward:-1977
Episode: 214, Step:16786, Total Reward:-3194
Episode: 215, Step:8582, Total Reward:-1621
