Episode:   0, Step: 99, Total Reward:-51
Episode:   1, Step: 99, Total Reward:-50
Episode:   2, Step: 99, Total Reward:-51
Episode:   3, Step: 99, Total Reward:-60
Episode:   4, Step: 99, Total Reward:-60
Episode:   5, Step: 99, Total Reward:-50
Episode:   6, Step: 99, Total Reward:-49
Episode:   7, Step: 99, Total Reward:-43
Episode:   8, Step: 99, Total Reward:-51
Episode:   9, Step: 99, Total Reward:-58
Episode:  10, Step: 99, Total Reward:-39
Episode:  11, Step: 99, Total Reward:-41
Episode:  12, Step: 99, Total Reward:-47
Episode:  13, Step: 99, Total Reward:-55
Episode:  14, Step: 99, Total Reward:-40
Episode:  15, Step: 99, Total Reward:-46
Episode:  16, Step: 99, Total Reward: 55
Episode:  17, Step: 99, Total Reward:-51
Episode:  18, Step: 99, Total Reward:-39
Episode:  19, Step: 99, Total Reward:-46
Episode:  20, Step: 99, Total Reward:-54
Episode:  21, Step: 99, Total Reward:-52
Episode:  22, Step: 99, Total Reward:-48
Episode:  23, Step: 99, Total Reward:-51
Episode:  24, Step: 99, Total Reward:-53
Episode:  25, Step: 99, Total Reward:-48
Episode:  26, Step: 99, Total Reward:-53
Episode:  27, Step: 99, Total Reward:-46
Episode:  28, Step: 99, Total Reward:-46
Episode:  29, Step: 99, Total Reward:-51
Episode:  30, Step: 99, Total Reward:-50
Episode:  31, Step: 99, Total Reward:-40
Episode:  32, Step: 99, Total Reward:-37
Episode:  33, Step: 99, Total Reward:-48
Episode:  34, Step: 99, Total Reward:-43
Episode:  35, Step: 99, Total Reward:-59
Episode:  36, Step: 99, Total Reward:-56
Episode:  37, Step: 99, Total Reward:-49
Episode:  38, Step: 99, Total Reward:-56
Episode:  39, Step: 99, Total Reward:-41
Episode:  40, Step: 99, Total Reward:-54
Episode:  41, Step: 99, Total Reward:-57
Episode:  42, Step: 99, Total Reward:-40
Episode:  43, Step: 99, Total Reward:-50
Episode:  44, Step: 99, Total Reward:-42
Episode:  45, Step: 99, Total Reward:-42
Episode:  46, Step: 99, Total Reward:-51
Episode:  47, Step: 99, Total Reward:-51
Episode:  48, Step: 99, Total Reward:-52
Episode:  49, Step: 99, Total Reward:-48
Episode:  50, Step: 99, Total Reward:-50
Episode:  51, Step: 99, Total Reward:-34
Episode:  52, Step: 99, Total Reward:-48
Episode:  53, Step: 99, Total Reward:-38
Episode:  54, Step: 99, Total Reward:-40
Episode:  55, Step: 99, Total Reward:-50
Episode:  56, Step: 99, Total Reward:-37
